序号,1、Please select the option that best describes your experience with OpenRice:,2、Please select the option that best describes your experience with OpenRice:,3、Which feature(s) did you concern during your last visit?,4、Rank the following features according to your level of concern during your last visit.,"5、On a scale of 1 to 5, how likely are you to consider the following UI features when making a choice?—Restaurant Information (e.g. Introduction, Address, Opening Hours etc) ","5、User interface elements (price, images, menu)",5、Pricing,5、The Appealing images,5、The detailed menu,5、The comments from other users,5、The rating from other users,5、The discounts or promotions,5、The detailed food descriptions,"6、To what extent do you agree with the statement about your personalities? Use a scale of 1 to 5, where 1 indicates ""Strongly Disagree"" and 5 indicates ""Strongly Agree.""—Is depressed, blue","6、Is relaxed, handles stress well",6、Can be tense,6、Worries a lot,"6、Is emotionally stable, not easily upset",6、Can be moody,6、Remains calm in tense situations,6、Gets nervous hardly,7、What is your gender?,8、Which age group do you belong?,9、What is the highest degree or level of education you have completed?,10、What is your current employment status?,"11、On a scale of 5, how well your expectations were met after reviewing OpenRice.","12、On a scale from 1 to 5, how would you rate your recent experience after perusing OpenRice?",13、Please provide the name of the last restaurant you dined at?,总分
93,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Pricing→Appealing images→Detailed Menu→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Slightly Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Not Important at All,Very Important,Moderately Important  ,Disagree,Disagree,Normal,Agree,Disagree,Agree,Normal,Agree,Female,0 - 14,Primary school,Student,Satisfied,Very Unsatisfied,佳佳甜品,51
94,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Moderately Important  ,Moderately Important  ,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Very Important,Extremely Important,Very Important,Agree,Normal,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Female,25 - 34,Associate degree / Diploma,Employed Part-Time,Normal,Very Satisfied,滿記甜品,76
95,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users,"(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Extremely Important,Agree,Agree,Strongly Agree,Normal,Normal,Strongly Agree,Agree,Agree,Female,25 - 34,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Part-Time,Satisfied,Very Satisfied,一樂燒鵝,80
96,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Detailed Menu→Pricing→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users",Extremely Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Extremely Important,Very Important,Moderately Important  ,Extremely Important,Strongly Agree,Strongly Agree,Agree,Normal,Agree,Normal,Strongly Agree,Agree,Female,45 - 54,Primary school,Employed Part-Time,Satisfied,Unsatisfied,嚐囍煲仔小菜,78
97,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Comments from Other Users→Rating→Detailed Menu→Pricing",Moderately Important  ,Very Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Very Important,Very Important,Moderately Important  ,Normal,Agree,Agree,Normal,Strongly Agree,Agree,Normal,Strongly Agree,Female,15 - 24,Bachelor's degree,Employed Full-Time,Satisfied,Unsatisfied,利苑酒家,72
98,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Detailed Menu→Rating→Comments from Other Users→Discounts or Promotions",Extremely Important,Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Female,25 - 34,Associate degree / Diploma,Employed Full-Time,Very Satisfied,Satisfied,新斗記,87
99,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu→Appealing images",Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Moderately Important  ,Very Important,Very Important,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Normal,Strongly Disagree,Disagree,Female,25 - 34,Associate degree / Diploma,Seeking opportunities,Satisfied,Very Satisfied,肥姐小食店,64
100,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Pricing→Appealing images→Comments from Other Users→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Normal,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Male,35 - 44,Bachelor's degree,Seeking opportunities,Very Satisfied,Very Satisfied,豪華咖啡茶廳,86
101,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Pricing→Detailed Menu→Comments from Other Users→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Very Important,Extremely Important,Moderately Important  ,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Strongly Agree,Agree,Normal,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Female,35 - 44,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Part-Time,Unsatisfied,Satisfied,金鳳茶餐廳,79
102,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Female,25 - 34,Associate degree / Diploma,Employed Part-Time,Satisfied,Very Satisfied,滿記甜品,86
103,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Rating→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Pricing→Comments from Other Users→Appealing images",Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Strongly Agree,Agree,Strongly Agree,Normal,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Female,35 - 44,Master's degree,Employed Part-Time,Unsatisfied,Normal,第三代肥仔小食店,82
104,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Comments from Other Users→Pricing→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu",Very Important,Very Important,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Agree,Male,25 - 34,Bachelor's degree,Employed Full-Time,Satisfied,Very Satisfied,強記美食,84
105,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Moderately Important  ,Very Important,Moderately Important  ,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Normal,Male,35 - 44,Associate degree / Diploma,Employed Part-Time,Very Satisfied,Unsatisfied,鳳城酒家,77
106,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Appealing images→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Detailed Menu",Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Male,35 - 44,Master's degree,Employed Part-Time,Satisfied,Very Satisfied,鳳城酒家,90
107,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu→Appealing images",Slightly Important,Not Important at All,Moderately Important  ,Very Important,Slightly Important,Moderately Important  ,Slightly Important,Slightly Important,Slightly Important,Normal,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Normal,Male,15 - 24,Bachelor's degree,Employed Full-Time,Very Satisfied,Very Satisfied,文記車仔麵,53
108,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Appealing images→Detailed Menu",Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Moderately Important  ,Very Important,Very Important,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Normal,Strongly Agree,Normal,Male,Above 64,Secondary school,Retired,Very Unsatisfied,Unsatisfied,一點心,75
109,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Female,35 - 44,Bachelor's degree,Seeking opportunities,Satisfied,Very Satisfied,譚仔米線,87
110,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Detailed Menu→Pricing→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users",Moderately Important  ,Extremely Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Extremely Important,Moderately Important  ,Very Important,Strongly Disagree,Normal,Disagree,Disagree,Normal,Disagree,Disagree,Agree,Female,35 - 44,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Part-Time,Unsatisfied,Satisfied,利強記北角雞蛋仔,61
111,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Pricing→Comments from Other Users→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images",Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Strongly Agree,Agree,Strongly Agree,Normal,Normal,Strongly Agree,Strongly Agree,Strongly Agree,Male,45 - 54,Primary school,Employed Part-Time,Unsatisfied,Normal,文記車仔麵,80
112,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Extremely Important,Moderately Important  ,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Normal,Strongly Agree,Agree,Female,15 - 24,Bachelor's degree,Seeking opportunities,Very Unsatisfied,Unsatisfied,公和荳品廠,78
113,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu→Appealing images",Very Important,Very Important,Moderately Important  ,Very Important,Moderately Important  ,Very Important,Moderately Important  ,Moderately Important  ,Extremely Important,Normal,Strongly Agree,Normal,Normal,Strongly Agree,Strongly Agree,Normal,Agree,Male,45 - 54,Primary school,Employed Part-Time,Unsatisfied,Satisfied,周記點心,70
114,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Moderately Important  ,Extremely Important,Moderately Important  ,Moderately Important  ,Moderately Important  ,Extremely Important,Extremely Important,Very Important,Normal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Normal,Agree,Male,45 - 54,Secondary school,Employed Part-Time,Unsatisfied,Satisfied,華姐清湯腩,75
115,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Strongly Agree,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,35 - 44,Associate degree / Diploma,Employed Part-Time,Unsatisfied,Normal,澳洲牛奶公司,86
116,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Discounts or Promotions→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Appealing images→Detailed Menu→Comments from Other Users→Rating",Moderately Important  ,Slightly Important,Moderately Important  ,Slightly Important,Very Important,Not Important at All,Moderately Important  ,Slightly Important,Moderately Important  ,Normal,Normal,Agree,Normal,Agree,Normal,Strongly Agree,Normal,Male,25 - 34,Bachelor's degree,Employed Part-Time,Very Satisfied,Very Satisfied,麥文記,61
117,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Appealing images→Pricing",Slightly Important,Not Important at All,Slightly Important,Very Important,Not Important at All,Slightly Important,Very Important,Not Important at All,Slightly Important,Normal,Strongly Disagree,Normal,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Female,35 - 44,Bachelor's degree,Employed Part-Time,Unsatisfied,Very Satisfied,何洪記粥麵專家,40
118,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users,"(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Moderately Important  ,Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Very Important,Agree,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Normal,Agree,Strongly Agree,Male,25 - 34,Associate degree / Diploma,Employed Full-Time,Very Unsatisfied,Normal,文記車仔麵,75
119,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Detailed Menu→Comments from Other Users→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Extremely Important,Strongly Agree,Normal,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,0 - 14,Primary school,Student,Unsatisfied,Very Satisfied,第三代肥仔小食店,83
120,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Appealing images→Pricing→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users",Very Important,Very Important,Extremely Important,Moderately Important  ,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Strongly Agree,Agree,Normal,Strongly Agree,Strongly Agree,Strongly Agree,Normal,Agree,Male,0 - 14,Secondary school,Student,Satisfied,Very Satisfied,豪華咖啡茶廳,82
121,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Not Important at All,Moderately Important  ,Slightly Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Moderately Important  ,Agree,Disagree,Strongly Disagree,Agree,Disagree,Normal,Disagree,Normal,Male,25 - 34,Master's degree,Employed Full-Time,Very Satisfied,Unsatisfied,合益泰小食,49
122,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Female,0 - 14,Primary school,Student,Satisfied,Very Satisfied,沾仔記,84
123,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Detailed Menu→Pricing",Extremely Important,Extremely Important,Very Important,Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Female,15 - 24,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Part-Time,Normal,Very Satisfied,華姐清湯腩,85
124,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Detailed Menu→Pricing→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images",Extremely Important,Moderately Important  ,Extremely Important,Very Important,Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Very Important,Agree,Agree,Agree,Strongly Agree,Normal,Strongly Agree,Normal,Agree,Male,15 - 24,Bachelor's degree,Employed Part-Time,Unsatisfied,Satisfied,唐宮小聚,77
125,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Detailed Menu→Comments from Other Users→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Slightly Important,Not Important at All,Very Important,Slightly Important,Not Important at All,Not Important at All,Very Important,Slightly Important,Not Important at All,Normal,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Male,55 - 64,Primary school,Seeking opportunities,Satisfied,Very Satisfied,富記粥品,59
126,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","(空)→Pricing→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Detailed Menu",Moderately Important  ,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Moderately Important  ,Very Important,Extremely Important,Extremely Important,Normal,Normal,Normal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Male,15 - 24,Associate degree / Diploma,Employed Part-Time,Unsatisfied,Very Satisfied,維記咖啡粉麵,76
127,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Slightly Important,Moderately Important  ,Slightly Important,Very Important,Very Important,Moderately Important  ,Moderately Important  ,Slightly Important,Slightly Important,Agree,Normal,Agree,Normal,Agree,Agree,Strongly Agree,Agree,Female,Above 64,Primary school,Retired,Normal,Satisfied,金華冰廳,63
128,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Comments from Other Users→Detailed Menu→Appealing images→Rating",Extremely Important,Very Important,Moderately Important  ,Very Important,Extremely Important,Very Important,Moderately Important  ,Very Important,Moderately Important  ,Agree,Agree,Normal,Agree,Normal,Normal,Strongly Agree,Strongly Agree,Female,15 - 24,Bachelor's degree,Employed Full-Time,Very Unsatisfied,Satisfied,滿記甜品,71
129,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Comments from Other Users→Detailed Menu→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Very Important,Very Important,Moderately Important  ,Extremely Important,Very Important,Very Important,Extremely Important,Moderately Important  ,Agree,Agree,Agree,Normal,Strongly Agree,Normal,Agree,Agree,Female,Above 64,Secondary school,Retired,Very Unsatisfied,Very Satisfied,維記咖啡粉麵,73
130,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Detailed Menu→Comments from Other Users→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images",Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Moderately Important  ,Very Important,Extremely Important,Extremely Important,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Female,25 - 34,Master's degree,Employed Part-Time,Very Unsatisfied,Satisfied,甘牌燒鵝,83
131,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Slightly Important,Very Important,Not Important at All,Moderately Important  ,Slightly Important,Very Important,Slightly Important,Not Important at All,Slightly Important,Agree,Strongly Disagree,Normal,Agree,Strongly Disagree,Disagree,Normal,Normal,Male,25 - 34,Bachelor's degree,Employed Part-Time,Satisfied,Very Satisfied,再興燒臘,51
132,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Pricing→Rating→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Detailed Menu→Comments from Other Users",Extremely Important,Very Important,Moderately Important  ,Very Important,Very Important,Very Important,Extremely Important,Very Important,Very Important,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Female,35 - 44,Bachelor's degree,Seeking opportunities,Unsatisfied,Very Satisfied,文記車仔麵,78
133,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Moderately Important  ,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Normal,Agree,Strongly Agree,Male,45 - 54,Primary school,Employed Part-Time,Very Unsatisfied,Very Satisfied,瑞記咖啡,78
134,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Pricing→Detailed Menu→Comments from Other Users→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Moderately Important  ,Extremely Important,Very Important,Extremely Important,Moderately Important  ,Very Important,Extremely Important,Extremely Important,Moderately Important  ,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Female,45 - 54,Primary school,Employed Part-Time,Very Satisfied,Very Satisfied,富記粥品,64
135,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users,"Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Rating→Detailed Menu→Comments from Other Users",Moderately Important  ,Moderately Important  ,Moderately Important  ,Moderately Important  ,Moderately Important  ,Not Important at All,Not Important at All,Not Important at All,Not Important at All,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Normal,Male,25 - 34,Bachelor's degree,Employed Full-Time,Very Satisfied,Unsatisfied,鳳城酒家,59
136,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users,"(空)→Appealing images→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Comments from Other Users",Moderately Important  ,Moderately Important  ,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Strongly Disagree,Agree,Normal,Disagree,Disagree,Disagree,Strongly Disagree,Normal,Male,Above 64,Primary school,Retired,Unsatisfied,Satisfied,甘の季節,61
137,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Rating→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Comments from Other Users→Discounts or Promotions→Detailed Menu→Pricing",Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Strongly Agree,Agree,Agree,Agree,Normal,Agree,Strongly Agree,Agree,Male,35 - 44,Bachelor's degree,Employed Part-Time,Very Satisfied,Normal,蘭芳園,80
138,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Extremely Important,Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Male,15 - 24,Bachelor's degree,Employed Part-Time,Satisfied,Very Satisfied,勝香園,86
139,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Detailed Menu→Appealing images→Rating",Very Important,Extremely Important,Very Important,Very Important,Very Important,Moderately Important  ,Extremely Important,Moderately Important  ,Extremely Important,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Normal,Agree,Normal,Female,15 - 24,Associate degree / Diploma,Employed Part-Time,Satisfied,Satisfied,甘牌燒鵝,78
140,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","(空)→Detailed Menu→Comments from Other Users→Pricing→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Very Important,Very Important,Extremely Important,Moderately Important  ,Moderately Important  ,Very Important,Very Important,Moderately Important  ,Agree,Agree,Agree,Strongly Agree,Normal,Normal,Normal,Strongly Agree,Male,35 - 44,Bachelor's degree,Employed Part-Time,Satisfied,Satisfied,紅茶冰室,74
